# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
  113       4.116140088417e-10       1.271988653777e-13       1.046123078617e-12       1.046123078617e-11      -4.189001344799e-12       1.325018870219e-15       7.813254432225e-12       1.181869873386e-12      -6.451379121086e-15 
  114       4.159535378398e-10       1.287274837608e-13       1.064638531542e-12       1.064638531542e-11      -4.270280490216e-12       1.326818588864e-15       7.630537807953e-12       1.160051780690e-12      -6.433470382847e-15 
  115       4.203105141839e-10       1.302114971993e-13       1.083316400818e-12       1.083316400818e-11      -4.350660977324e-12       1.328525806037e-15       7.453023316989e-12       1.138765797079e-12      -6.411292545630e-15 
  116       4.246836934192e-10       1.316493308886e-13       1.102156686452e-12       1.102156686452e-11      -4.430078396076e-12       1.330152604750e-15       7.280262580816e-12       1.117960958391e-12      -6.380561814723e-15 
  117       4.290724378668e-10       1.330395450330e-13       1.121159388420e-12       1.121159388420e-11      -4.508462533528e-12       1.331709847161e-15       7.112189521538e-12       1.097631787463e-12      -6.340850734616e-15 
  118       4.334762022369e-10       1.343807577293e-13       1.140324506688e-12       1.140324506688e-11      -4.585741470916e-12       1.333208182200e-15       6.948817830511e-12       1.077782449802e-12      -6.292773795256e-15 
  119       4.378943519701e-10       1.356716189049e-13       1.159652041219e-12       1.159652041219e-11      -4.661843033834e-12       1.334658394031e-15       6.790134691826e-12       1.058414163884e-12      -6.237004544251e-15 
  120       4.423261603792e-10       1.369108116926e-13       1.179141991975e-12       1.179141991975e-11      -4.736694819995e-12       1.336071396269e-15       6.636099969837e-12       1.039525108108e-12      -6.174276919551e-15 
  121       4.467708057908e-10       1.380970538038e-13       1.198794358912e-12       1.198794358912e-11      -4.810224227014e-12       1.337458226211e-15       6.486645396695e-12       1.021110327738e-12      -6.105386582133e-15 
  122       4.512273686878e-10       1.392290989036e-13       1.218609141987e-12       1.218609141987e-11      -4.882358480171e-12       1.338830039053e-15       6.341673759888e-12       1.003161641857e-12      -6.031192248687e-15 
  123       4.556948288510e-10       1.403057379846e-13       1.238586341153e-12       1.238586341153e-11      -4.953024660185e-12       1.340198102122e-15       6.201058089767e-12       9.856675503141e-13      -5.952617024299e-15 
  124       4.601720625012e-10       1.413258007409e-13       1.258725956358e-12       1.258725956358e-11      -5.022149730988e-12       1.341573789093e-15       6.064640847086e-12       9.686131406741e-13      -5.870649735138e-15 
  125       4.646578394411e-10       1.422881569425e-13       1.279027987552e-12       1.279027987552e-11      -5.089660567494e-12       1.342968574218e-15       5.932233110529e-12       9.519799951668e-13      -5.786346261136e-15 
  126       4.691508201977e-10       1.431917178096e-13       1.299492434677e-12       1.299492434677e-11      -5.155483983370e-12       1.344394026549e-15       5.803613764253e-12       9.357460976355e-13      -5.700830868677e-15 
  127       4.736495531635e-10       1.440354373865e-13       1.320119297675e-12       1.320119297675e-11      -5.219546758810e-12       1.345861804161e-15       5.678528685411e-12       9.198857404866e-13      -5.615297543278e-15 
  128       4.781524717393e-10       1.448183139160e-13       1.340908576485e-12       1.340908576485e-11      -5.281775668303e-12       1.347383648378e-15       5.556689931695e-12       9.043694316382e-13      -5.531011322276e-15 
  129       4.826580637014e-10       1.455394353833e-13       1.361860271072e-12       1.361860271072e-11      -5.342098836073e-12       1.348971104458e-15       5.437837630847e-12       8.891706720950e-13      -5.449064473766e-15 
  130       4.871654063837e-10       1.461981188786e-13       1.382974381524e-12       1.382974381524e-11      -5.400449911510e-12       1.350634661278e-15       5.321935051130e-12       8.742873269434e-13      -5.369611961388e-15 
  131       4.916736850778e-10       1.467937891908e-13       1.404250907968e-12       1.404250907968e-11      -5.456764406404e-12       1.352384505918e-15       5.208993494552e-12       8.597224338472e-13      -5.292554237174e-15 
  132       4.961820244607e-10       1.473259376819e-13       1.425689850539e-12       1.425689850539e-11      -5.510978445241e-12       1.354230781079e-15       5.099011152904e-12       8.454774991194e-13      -5.217774459793e-15 
  133       5.006894869692e-10       1.477941239767e-13       1.447291209378e-12       1.447291209378e-11      -5.563028802477e-12       1.356183577355e-15       4.991972743962e-12       8.315524538349e-13      -5.145138073002e-15 
